URN,CTSURN,LatinName,EnglishName
urn:cite:chs:textgroup.tlg0011,urn:cts:greekLit:tlg0011,Sophocles,Sophocles
urn:cite:chs:textgroup.tlg0012,urn:cts:greekLit:tlg0012,Homerus,Homer
